% Model,HUR_model_weather_Helsinki_.mph
% Version,COMSOL 5.4.0.388
% Date,"Oct 14 2019, 18:27"
% Table,Table 8 - Point Evaluation 3 (T)
% Time (h),"Temperature (degC), Point: 3","Temperature (degC), Point: 9","Temperature (degC), Point: 13","Temperature (degC), Point: 17","Temperature (degC), Point: 23","Temperature (degC), Point: 25","Temperature (degC), Point: 27","Temperature (degC), Point: 39","Temperature (degC), Point: 41","Temperature (degC), Point: 47","Temperature (degC), Point: 51","Temperature (degC), Point: 53","Temperature (degC), Point: 57"
8556,34.5364317009396,33.77290736225643,34.87802779065436,35.03184186538999,34.48270646804701,29.754406102434075,34.13145947508258,35.49541475793126,35.422425405224885,35.856315096869594,34.66458126322459,34.59578352153477,34.882824786037304
8557,34.536765766343535,33.773173743548114,34.87834583498733,35.03229284939914,34.483029388819375,29.755059104901818,34.13189159431403,35.49580615517232,35.42283125217051,35.85671156931761,34.66507447725479,34.59624181071996,34.88324185301269
8558,34.53709983174741,33.773440124839794,34.87866387932036,35.03274383340829,34.48335230959174,29.755712107369447,34.132323713545475,35.49619755241338,35.423237099116136,35.85710804176557,34.66556769128505,34.59670009990509,34.88365891998808
8559,34.537433897151345,33.77370650613142,34.878981923653384,35.03319481741744,34.48367523036404,29.756365109837134,34.13275583277692,35.49658894965444,35.42364294606176,35.857504514213645,34.666060905315305,34.59715838909028,34.88407598696347
8560,34.53776796255528,33.7739728874231,34.87929996798641,35.03364580142659,34.48399815113646,29.757018112304877,34.13318795200831,35.49698034689544,35.42404879300733,35.857900986661605,34.66655411934562,34.59761667827536,34.8844930539388
8561,34.53810202795921,33.77423926871472,34.87961801231944,35.034096785435736,34.48432107190877,29.757671114772563,34.13362007123976,35.4973717441365,35.42445463995301,35.85829745910968,34.66704733337582,34.59807496746055,34.884910120914185
8562,34.538436093363146,33.774505650006404,34.87993605665241,35.034547769444885,34.48464399268113,29.75832411724025,34.13405219047115,35.49776314137756,35.42486048689858,35.85869393155764,34.66754054740608,34.59853325664568,34.88532718788957
8563,34.53877015876702,33.77477203129803,34.88025410098544,35.03499875345403,34.48496691345349,29.758977119707993,34.1344843097026,35.49815453861862,35.425266333844206,35.859090404005656,34.668033761436334,34.59899154583087,34.88574425486496
8564,34.539104224170956,33.77503841258971,34.88057214531847,35.03544973746318,34.48528983422585,29.75963012217568,34.13491642893405,35.49854593585968,35.42567218078983,35.85948687645367,34.66852697546665,34.599449835016,34.88616132184029
8565,34.53943828957483,33.77530479388139,34.880890189651495,35.03590072147233,34.485612754998215,29.760283124643365,34.13534854816544,35.49893733310074,35.42607802773546,35.85988334890169,34.66902018949685,34.599908124201136,34.88657838881568
8566,34.539772354978766,33.77557117517301,34.88120823398447,35.036351705481536,34.48593567577058,29.76093612711105,34.13578066739689,35.4993287303418,35.42648387468108,35.86027982134971,34.669513403527105,34.600366413386325,34.886995455791066
